Start_Zone,Favorite_End_Zone,Avg_Distance,Avg_Total_Distance
110,109,2.4631855397984603,6.410398704159895
111,181,1.4973095041552884,4.0467573076682655
112,255,1.2762597249434098,4.484691599537945
113,79,0.8554469826978573,4.788989913447167
114,79,0.9838717367754536,5.076245277081315
115,206,2.4753129633202673,4.860574014251477
116,244,1.6623101417004604,6.2764598850704365
117,117,1.4570965364893032,7.861675002398837
118,23,2.8846235617456735,5.677385554298783
119,247,1.3776258687511351,4.56349896327193
120,244,1.331622953319042,4.84801241268099
121,95,2.857074789838782,5.832128936541286
122,130,2.165951114456935,5.777786974792264
123,123,1.456471439029961,3.9628345413701345
124,124,1.4385845413997842,5.799147713563019
125,231,0.9424816277682614,4.664572734073114
126,213,2.877001677596462,4.667873951492801
127,243,1.342423030469975,5.291297022469397
128,244,3.4391079601176857,6.063837094623712
129,129,1.3335966146301357,4.0765385912433585
130,130,2.293167741776031,5.540841923733496
131,130,2.4732485321553996,6.099405044129438
132,265,28.33524105397852,19.216183565520808
133,26,2.2122253891075236,4.79591809285779
134,134,1.0825483550310027,4.982520613238071
135,95,2.5477535024499125,5.612108791363835
136,241,1.1882322361572646,4.533593767258964
137,79,1.3413032508724196,7.159067918334147
138,230,16.36022552515871,13.384093612358216
139,265,6.027495053633972,5.642159807612947
140,237,0.9570563569657499,5.462375844062094
141,236,1.1649829774576295,4.021016540644674
142,239,1.0135694585600765,4.6822987295394425
143,239,1.0158852027592806,5.854027986369013
144,79,4.407244491075202,5.492476298747737
145,145,11.483301522991457,6.1659986019852715
146,7,1.1489963125442582,4.412031533205102
147,126,1.637572552610342,4.40295885160531
148,79,4.440806642617943,5.497578564583933
149,210,1.5770280984257503,4.05529330983643
150,210,1.4326257633118755,5.100389714452215
151,239,1.2735044325898477,6.081283602645173
152,166,1.4652206667683858,4.694768840875739
153,241,1.0875541172552596,4.197458068423556
154,155,2.217557887027138,7.281645660629678
155,155,1.6051549295228142,5.046086552732789
156,156,1.4791778100937163,4.907260015112121
157,82,1.9196885426419972,4.329920907130292
158,231,5.416702626495513,5.363776835137671
159,168,1.296730965677248,4.2661383158524515
160,160,1.2765321938511252,4.450346980234845
161,237,1.1464378319868802,4.9714126343854765
162,170,0.9227975614995204,5.133424663104256
163,161,3.876824260898322,4.706683780653961
164,161,1.0360482121666428,5.074592790311089
165,165,1.5199779526746997,4.438863748411317
166,166,1.1127050369453364,4.731106950041599
167,159,1.2212311782078749,4.399561920815588
168,168,1.2182402580056986,4.711183589649157
169,169,2.1711781713654847,4.325501980145329
170,234,1.1016672860506647,5.812050432883599
171,92,1.4044992939708394,5.275684068385531
172,172,1.3446550413801701,5.31600565701746
173,129,1.7501539461013225,6.513819461692108
174,265,7.526052082212891,5.050492994204324
175,16,2.215504199086081,7.080334935614747
176,172,1.4996263521634616,5.92737289535582
177,61,1.6736388542698055,4.158163902182001
178,123,1.7398178528628108,3.92193065466488
179,7,1.2394708606154263,6.967842340360942
180,216,1.8876587276441965,4.517768158619265
181,181,5.198883007081874,5.698793612664373
182,242,2.5265328802982148,5.645518734768844
183,208,2.0186278688732404,5.671689306580663
184,51,2.0076010446001518,5.681064396934907
185,242,1.9888965954069706,5.221585118716933
186,230,1.1300464918483974,5.480951769948744
187,156,1.7903137219333252,4.862742635200831
188,61,1.8964463120948276,4.435528006021889
189,181,1.5242551606025403,6.061451152925665
190,181,1.8704128468873356,4.535964351981666
191,191,1.377610811630776,6.010118412200585
192,92,1.7398374232666458,5.172363936926175
193,193,2.2425326136250905,9.907407456715758
194,194,2.0830686623536216,6.806980170677122
195,181,2.2786080402718634,5.799447910940907
196,95,1.4054184527526807,4.7654734847238585
197,197,1.3849239211194353,5.215918050340733
198,198,1.1285682125988457,4.222824108162003
199,199,1.949788755281118,3.4847857650014564
200,220,1.9040628711758851,7.112889713018346
201,201,1.4045660767542625,8.021046805276644
202,145,2.2517653715392623,7.949113050464517
203,265,4.5190726028548225,5.721981186478823
204,44,2.6498068623987683,7.584721139598739
205,205,1.596161215485635,5.462170717043002
206,206,1.9379642340383254,4.648576049760248
207,207,0.38552485468450026,2.7181695001917423
208,208,1.7156792746303935,5.9194257106618
209,231,1.1317599060937233,5.88263766755686
210,210,1.2566932299159013,4.512003791814357
211,79,4.304712534043836,6.383019321717218
212,213,1.7457285850774789,4.826742739317287
213,213,2.1826951736898743,5.504418857707137
214,214,1.3902506729128368,5.6393577100776495
215,130,1.9643483811514206,5.291871564506617
216,216,1.3576332537816986,4.723736168325616
217,217,0.8954270166344407,3.0482211518536766
218,132,3.2246389737548644,5.784030507404026
219,265,6.644019597923699,6.14997989377034
220,220,1.4521428675889907,5.129383251610457
221,206,2.017406646512816,4.74759505818959
222,76,1.6628717037269456,5.671382231265889
223,223,2.1054272373367957,5.835904658085263
224,79,23.549338556907763,7.816194780758029
225,61,1.6498365381382996,4.256404539006587
226,226,8.134132786199478,5.416398268474406
227,228,1.4795518317042875,4.760636531210696
228,228,1.3252314674276,5.2719079031558085
229,237,1.099672122514382,3.8787713095171608
230,186,1.0262747852102845,5.531810412034103
231,231,0.9219798398353595,7.2024000484465125
232,79,1.2226324650398737,4.608250957264658
233,161,1.1731798762134646,3.817335744609838
234,170,1.087601036655544,4.0460009591094614
235,235,1.2884715577596266,4.782648710415469
236,237,1.1233542200757995,3.7223737315320102
237,236,2.6192433978490466,4.212993562628633
238,239,0.9494660079796425,5.138035308792314
239,142,0.9046503280098853,7.5088443685691875
240,265,5.1059231939287875,5.06022705468912
241,241,1.2577833883878895,4.764666155443124
242,242,1.685252536449679,4.740984846460059
243,244,1.6761309789354704,5.578560649311735
244,244,1.2565568251687327,6.466539217499876
245,206,2.0603118487317205,4.7054721354027205
246,48,1.245337286156502,4.414016617938989
247,69,1.1358927885134043,4.451698531109222
248,213,2.1162285303980557,4.743392901972231
249,79,3.218218944570961,4.418648993417132
250,213,1.623314685793389,5.007799649066837
251,23,2.8286137963104623,4.693364224220483
252,92,2.7363980060309814,6.13693520794936
253,265,24.255616578793205,8.625469081416218
254,254,1.5296263330759692,5.198824302766596
255,112,1.2007086647139347,5.325626031535901
256,255,0.9706434687647133,5.109907097972658
257,181,1.7326002851558746,5.300282055834528
258,258,1.144654881341103,5.026488397676561
259,265,4.292479677988076,5.270038778729523
260,260,1.3150343792802528,3.889948679571831
261,231,0.9733046662751893,7.988265600648747
262,236,0.8912768410427678,4.968973489185104
263,236,0.7669361703631399,3.785562507244466
264,264,5.404495371558073,5.333620479156871
265,265,6.878758757085754,6.725760790343894
