Start_Zone,Favorite_End_Zone,Avg_Distance,Avg_Total_Distance
1,1,1.1096710366587075,3.8194368493006627
2,2,2.647195801193379,5.230589656784872
3,51,1.9157824030508643,4.5974679394034235
4,79,0.9889676242393555,3.9323760598588433
5,84,2.0401364787526366,6.674927320915986
6,214,1.6553446989018243,5.5660790780205405
7,7,1.2659425827049662,5.524430959460025
8,7,1.6494083450152552,4.575423434034522
9,16,1.4856193969881353,6.139648543855879
10,130,3.198922672990599,6.026967229936175
11,22,1.4544895934564301,5.477540229697216
12,230,7.205904250785955,4.827806173627281
13,231,0.9552792619284294,7.219973209337015
14,14,1.421505130443885,5.808101903294106
15,16,4.037144129640817,7.674413433219347
16,16,1.3008520123164808,5.8724338397360984
17,17,1.4674465611167182,4.029941836334113
18,18,1.7673355420999872,4.307643422401503
19,265,6.224540160238641,8.160908886412205
20,18,1.3740129255282276,4.5122976072951495
21,22,1.4068358493248672,4.298676885396065
22,22,1.311010428197525,4.700678187014856
23,23,2.4305390456541414,5.9728024510099065
24,238,1.186194572303761,5.748466897458496
25,181,1.5637807123827967,4.8628745452198485
26,26,1.2492932619129409,3.4251605357741783
27,201,3.7630797144664787,10.820151378460702
28,130,1.8312103826524475,5.757060951246905
29,210,2.1011879110639002,5.012145076955708
30,201,2.6065104315467686,6.805391362826257
31,20,3.9972988604147424,6.258669042523661
32,254,1.644717226457043,5.236624599514533
33,33,1.0402066973815913,5.87408698191984
34,97,1.2103620825453036,4.428881260103943
35,35,1.307390192268229,4.027742330044542
36,37,1.278482618525053,4.113187292511839
37,37,1.3612359952446,4.198239346924493
38,265,6.639586538633558,6.840638370744486
39,39,1.4326295093285764,4.466442971039282
40,181,1.6244286316763896,4.867646955390831
41,42,1.6055682955849901,4.460144026225373
42,42,1.3925714715901605,4.775199971490299
43,161,1.5627591156370544,4.243162887122863
44,44,1.8208048645338424,7.90399546706618
45,79,1.544352896388837,5.749250478440824
46,265,11.250372817883823,9.457261611796849
47,169,1.2462703900298686,4.428886286730895
48,68,1.2905542980352425,5.1761101365431195
49,61,1.74111462134317,4.1988730708320166
50,48,0.8732654487763502,6.503059599085014
51,51,1.9985157323403537,6.272742462716599
52,33,0.9618939936213017,6.182551729602781
53,92,2.183151577921287,6.2591694966230325
54,33,1.16358053895529,5.281667146891699
55,55,1.7529440477166776,7.332975105216567
56,82,1.4607375205815027,4.835636073246701
57,82,1.9708313587799413,5.922467048964591
