Type,Payment_Type,Percentage
FHVHV,-1,100.0
Green,-1,2.2580739596223918
Green,1,48.07989819642136
Green,2,49.01061617430971
Green,3,0.38945105718068923
Green,4,0.2579395158067788
Green,5,0.004021096659066391
Yellow,0,0.6646811275271717
Yellow,1,60.072292476398694
Yellow,2,38.66779445500032
Yellow,3,0.3360024913928206
Yellow,4,0.20685146054566234
Yellow,5,0.05237798913533305
